State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,705,2701,3662,3450,23-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,379,2760,3576,3302,21-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,178,2301,3431,3001,18-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,49,2700,3701,3500,17-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,62,2251,3000,2680,16-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,149,2301,3821,3685,15-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,34,3371,3562,3562,10-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,91,3300,3700,3606,09-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,21,3376,3687,3662,08-Sep-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,23,3612,3807,3781,27-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,48,3476,3791,3739,26-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,21,3679,3719,3719,21-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,63,3321,3741,3711,20-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,91,3095,3737,3632,19-Aug-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,83,3321,3691,3669,18-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,93,3618,3697,3650,17-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,40,3600,3723,3723,14-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,101,3395,3740,3731,11-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,36,3500,3785,3765,10-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,23,3651,3775,3775,07-Aug-20
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,55,3300,3770,3720,06-Aug-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,2.5,3206,3640,3610,30-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,3.7,3286,3650,3551,29-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,6.6,3100,3601,3586,28-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,10.7,3371,3646,3476,27-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,2.5,3324,3672,3672,23-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,6.4,3481,3666,3600,22-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,0.8,3481,3666,3638,21-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,2.8,3025,3684,3593,20-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,92.9,3142,3665,3611,18-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,11.3,3276,3650,3521,17-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,0.05,3400,3600,3550,16-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,10.3,3300,3675,3651,15-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,0.7,3199,3491,3300,14-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,4.8,2900,3638,3431,13-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,4.5,3395,3670,3649,10-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,9.3,3268,3675,3648,09-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,16.7,3375,3647,3620,08-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,14.2,3251,3631,3550,07-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,9.3,3251,3585,3571,06-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,28.6,3460,3602,3576,02-Jul-20
Madhya Pradesh,Ratlam,A lot,Other,Oil Seeds,11.6,3376,3595,3534,01-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,241,2700,4601,4330,31-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,297.5,2800,4580,4360,30-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,344,2800,4715,4350,29-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,337.4,3300,4566,4300,28-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,479.4,3200,4520,4300,24-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,574,3200,4580,4350,23-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,338.7,3300,4520,4000,22-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,472.9,3450,4690,4400,21-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,508.7,2725,4480,4300,19-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,565.1,2700,4781,4370,18-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,469.6,2800,4700,4390,17-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,435.3,2700,4580,4320,16-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,301.2,2800,4651,4300,15-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,142.5,3300,4360,4200,11-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,96.8,3400,4310,4150,08-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,427.9,2750,4580,4220,07-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,401.1,3300,4520,4200,05-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,625.4,2800,4557,4270,04-Dec-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,651,2900,4512,4200,26-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,674.2,2800,4630,4300,25-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,065.40",2900,4600,4300,24-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,172.60",2900,4690,4340,23-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,939.7,2800,4790,4400,21-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,145.00",2950,4700,4405,20-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,744.5,2901,4902,4420,19-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,648.7,2800,5151,4400,18-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,738.2,3000,5000,4600,11-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,665,3000,4712,4295,10-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,988.9,2550,4851,4250,09-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,502.40",2500,4965,4265,06-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,904,2600,4900,4220,04-Nov-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,842.40",2500,4999,4150,29-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,305.80",2500,5000,4170,28-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,309.8,2800,4999,4200,27-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,507.30",2500,4800,4040,23-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,546.50",2800,5001,4095,22-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,947.80",2800,4707,4060,21-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,663.00",3000,4800,4050,20-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,431.50",2400,5000,3975,19-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,780.20",3500,4710,4250,15-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,643.80",3400,4600,3900,14-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"1,892.30",3500,4420,3950,13-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,"2,335.60",2700,4401,3950,12-Oct-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,773,2000,3650,3650,23-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,802.4,2200,3925,3550,22-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,770,2200,3850,3600,21-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,484.8,2200,3925,3500,19-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,392.1,2000,3847,3550,18-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,161,3340,3868,3500,16-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,98.9,2800,3854,3700,15-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,109.5,2250,3726,3670,14-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,138.4,3060,3664,3570,11-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,133.2,2500,3670,3640,10-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,123.1,2411,3711,3670,09-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,75.4,2800,3704,3600,08-Sep-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,60,2900,4000,3400,31-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,33.6,2890,3928,3800,29-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,77.5,2780,3942,3800,28-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,98,2900,3925,3750,27-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,85,2925,3819,3351,26-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,79.5,2871,3767,3412,25-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,52,2851,3783,3640,24-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,100,2760,3785,3700,22-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,79,3200,3719,3660,18-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,70,2300,3740,3660,17-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,70,3100,3715,3668,14-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,40,2501,3720,3680,13-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,62.5,2900,3790,3450,11-Aug-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,90,3400,3835,3751,31-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,70,2600,3725,3690,30-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,80,3000,3691,3650,29-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,80,2550,3660,3600,28-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,73,2800,3840,3670,27-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,65,2926,3770,3600,25-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,53,2900,3691,3590,22-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,70,3000,3679,3600,20-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,82,2800,3644,3580,17-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,100,3500,4400,4100,15-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,41.5,3000,3676,3590,14-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,60,2900,3740,3400,13-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,104,2850,3619,3520,10-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,160,2850,3619,3520,09-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,140,2800,3601,3570,08-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,140,2600,3590,3500,07-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,90,2900,3627,3570,06-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,95,3400,3969,3500,04-Jul-20
Madhya Pradesh,Shajapur,Agar,Other,Oil Seeds,130,3400,3969,3500,03-Jul-20
Madhya Pradesh,Alirajpur,Alirajpur,Other,Oil Seeds,0.01,3000,3100,3050,14-Oct-20
Madhya Pradesh,Alirajpur,Alirajpur,Other,Oil Seeds,0.01,3000,3100,3050,12-Oct-20
Madhya Pradesh,Chhindwara,Amarwda,Soyabeen,Oil Seeds,4,3200,3200,3200,28-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,53.7,3510,4975,4400,31-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,93.4,3300,4423,4100,30-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,118.4,3155,4880,4200,29-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,109.2,2690,4475,4150,28-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4280,0,4280,27-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4300,0,4300,26-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,121.8,3661,4500,4326,24-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,153.7,3390,5000,4100,23-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,189.8,2990,4575,4200,22-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,128.6,3505,4386,4070,21-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,0,0,3700,20-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,55.4,3730,4353,4000,19-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,133.9,3050,4347,4050,18-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,171.5,2950,4330,4130,17-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,58.8,3350,4300,4005,16-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,77.8,3555,4855,3950,15-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,47.8,3500,4380,3900,14-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,3950,0,3950,13-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,3950,0,3950,12-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,15.4,3190,4261,3850,11-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,74.5,2760,4747,4020,10-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,84.3,2900,4510,3900,09-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4000,4185,4050,08-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,103.3,3100,4185,4050,07-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4100,0,4100,06-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,154,3400,4330,4100,05-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,165.8,3000,4385,4060,04-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,160.8,2800,4290,4060,03-Dec-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,3920,0,3920,30-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,3980,0,3980,29-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4000,0,4000,28-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,138.5,2905,4175,3950,27-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,136.5,3325,4175,3950,26-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,102.2,3080,4250,4000,25-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,161.5,2990,4389,4060,24-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,226.5,3136,4800,4050,23-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4015,0,4015,22-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,78.2,3200,4310,4015,21-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,203.1,3390,4580,4200,20-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,139.5,3190,5000,4150,19-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,129.6,2600,4600,4140,18-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,36,3423,4300,4000,17-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4005,4005,4005,16-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,3980,3980,3980,15-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4000,0,4000,14-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4010,4010,4010,13-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,198,3285,4870,4105,10-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,241.3,3240,4875,4060,09-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,4000,4000,4000,08-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,140.1,3100,4350,4000,07-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,25.3,3115,4500,3600,05-Nov-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,271.8,2990,4690,4120,28-Oct-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,164.9,2365,3691,3500,23-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,149.1,1290,3680,3500,22-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,131.8,1995,3840,3225,21-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,76.2,2250,3646,3205,19-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,59.7,2195,3831,3220,18-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,31.5,2100,3600,3055,17-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,21.4,2305,3505,3136,16-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,16,2360,3775,3305,15-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,13.3,2670,3840,3375,14-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,15.5,2705,3650,3560,09-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,3.3,3260,3580,3500,08-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,7.2,3790,3875,3815,07-Sep-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,6.3,2755,3895,3770,31-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.9,3765,3812,3812,28-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,8.9,3565,3768,3700,27-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,13.3,2800,3761,3612,26-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,15.5,2410,3641,3445,25-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.9,3460,3635,3485,24-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,13.5,3100,3425,3425,18-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,3.5,3330,3570,3420,17-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,23.1,3241,3784,3530,14-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,8.6,2860,3528,3425,13-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,17,3400,3850,3685,11-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,16.4,3805,3870,3850,10-Aug-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,7.7,3105,3515,3465,31-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,12,3010,3620,3465,30-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,7.4,3395,3585,3480,29-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,14.2,2955,3587,3400,28-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,8.8,2800,3600,3545,27-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,9.4,3090,3641,3500,24-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,23.9,2500,3610,3250,23-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,24.7,2700,3642,3510,22-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,33.7,2400,3630,3446,21-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,14.4,3271,3630,3545,20-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,6.9,2700,3630,3395,18-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,16.6,2800,3631,3550,17-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,12.6,2790,3576,3425,15-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,46,2405,3595,3500,13-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,0.1,3400,3400,3400,12-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,51.4,2405,3599,3400,10-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,64.2,3000,3630,3551,09-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,50.5,2700,3576,3460,08-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,56.2,2600,3600,3500,07-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,72.2,2105,3650,3525,06-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,19.3,2785,3575,3500,04-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,84.8,2500,3595,3400,03-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,37.8,2800,3690,3500,02-Jul-20
Madhya Pradesh,Guna,Aron,Other,Oil Seeds,63.4,2600,3600,3450,01-Jul-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,366.8,2290,4360,4070,31-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,445.7,3000,4685,4105,30-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,322.7,3300,4470,4030,29-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,302.3,3325,4730,4100,28-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,305,3425,4500,3850,23-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,550.5,3450,4590,4100,22-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,502.1,3400,4560,4136,21-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,209.5,3300,4680,3880,11-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,415,3300,4620,3880,10-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,347.5,3300,4570,3825,09-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,6.9,3900,4100,4012,08-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,417.6,3201,4464,3890,07-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,421,2800,4350,3856,05-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,441,3460,4400,3901,04-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,513.8,3300,4400,3740,03-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,404.3,3366,4505,3775,01-Dec-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,382.4,3300,4550,3856,26-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,469.9,3000,4408,3860,25-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,404.8,3075,4430,3716,24-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,444.8,2950,4575,3765,23-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,367.1,3201,4475,3825,21-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,510.8,2000,4600,3990,20-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,479.8,3300,4799,3865,19-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,408.4,3051,4600,3850,18-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,167.4,3000,4640,3650,17-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,208,3100,4475,3660,12-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,516.7,3090,4500,3780,11-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,502.5,3120,4520,3650,10-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,902.9,3000,4380,3760,09-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,606.5,3000,4400,3690,07-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,907.8,3350,4455,3700,06-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,903.5,3100,4400,3736,05-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,410.8,3099,4400,3765,04-Nov-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,408.6,3000,4700,3670,28-Oct-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Yellow,Oil Seeds,290,3000,4680,3830,27-Oct-20
